ecosystem,sub_ecosystem,variety_name
Rainfed Lowland,Favourable,BR3
Rainfed Lowland,Favourable,BR4
Rainfed Lowland,Favourable,BR5
Rainfed Lowland,Favourable,BR10
Rainfed Lowland,Favourable,BR11
Rainfed Lowland,Favourable,BR22
Rainfed Lowland,Favourable,BR23
Rainfed Lowland,Favourable,BR25
Rainfed Lowland,Favourable,BRRI dhan32
Rainfed Lowland,Favourable,BRRI dhan33
Rainfed Lowland,Favourable,BRRI dhan34
Rainfed Lowland,Favourable,BRRI dhan37
Rainfed Lowland,Favourable,BRRI dhan46
Rainfed Lowland,Favourable,BRRI dhan49
Rainfed Lowland,Favourable,BRRI dhan57
Rainfed Lowland,Favourable,BRRI dhan62
Rainfed Lowland,Favourable,BRRI dhan72
Rainfed Lowland,Favourable,BRRI dhan75
Rainfed Lowland,Favourable,BRRI dhan80
Rainfed Lowland,Favourable,BRRI dhan87
Rainfed Lowland,Favourable,BRRI dhan94
Rainfed Lowland,Favourable,BRRI dhan95
Rainfed Lowland,Favourable,BRRI hybrid dhan4
Rainfed Lowland,Favourable,BRRI hybrid dhan6
Rainfed Lowland,Drought Prone,BRRI dhan56
Rainfed Lowland,Drought Prone,BRRI dhan66
Rainfed Lowland,Drought Prone,BRRI dhan71
Rainfed Lowland,Flash Flood Prone,BRRI dhan51
Rainfed Lowland,Flash Flood Prone,BRRI dhan52
Rainfed Lowland,Flash Flood Prone,BRRI dhan79
Rainfed Lowland,Saline,BR10
Rainfed Lowland,Saline,BR23
Rainfed Lowland,Saline,BRRI dhan30
Rainfed Lowland,Saline,BRRI dhan40
Rainfed Lowland,Saline,BRRI dhan41
Rainfed Lowland,Saline,BRRI dhan73
Rainfed Lowland,Saline,BRRI dhan78
Rainfed Lowland,Non-saline Tidal,BRRI dhan44
Rainfed Lowland,Non-saline Tidal,BRRI dhan52
Rainfed Lowland,Non-saline Tidal,BRRI dhan76
Rainfed Lowland,Non-saline Tidal,BRRI dhan77
Semi-deepwater,Broadcasted Aman,BRRI dhan91
