Year,Rice Area 000 Acres,Rice Production 000 M.tons,Jute Area 000 Acres,Jute Production 000 Bales,Sugarcane Area 000 Acres,Sugarcane Production 000 M.tons,Tea Area 000 Acres,Tea Production 000 lbs,Pulses Area 000 acres,Pulses Production 000 M.tons,Oilseeds Area 000 acres,Oilseeds Production 000 M.tons,Condiments and Spices Area 000 acres,Condiments and Spices Production 000 M.tons,Tobacco Area 000,Tobacco Production 000 M.Ton
2010-11,28489,33542,1751,1523,287,4671,140,133380,627,232,924,730,795,1649,121,79
2011-12,28487,33889,1878,1452,266,4603,143,133379,667,240,972,787,1042,1880,126,85
2012-13,28228,33833,1683,7611,270,4469,144,139994,701,265,1009,804,784,1722,124,181
2013-14,28101,34357,1645,7436,265,4508,148,145728,824,352,1065,844,855,2043,124,85
2014-15,28209,34710,1662,7501,258,4434,149,145727,885,378,1124,934,924,2409,127,94
2015-16,28123,34710,1675,7554,243,4208,148,142198,922,378,1125,934,987,2488,115,88
2016-17,27184,33804,1823,8247,227,3863,133,-,901,387,1197,975,1018,2675,115,88
2017-18,28699,36278,1874,8895,223,3639,133,-,897,390,1122,1026,1007,2596,105,89
2018-19,28456,36391,1852,8576,207,3203,133,-,,,,,,,, 
2019-20,28213,36604,1679,8045,213,3683,147,-,,,,,,,, 
2020-21,28913,37608,1686,7725,192,3333,136,-,,,,,,,, 
2021-22,28892,38143,1783,8432,179,3087,140,-,,,,,,,, 
2022-23,28755,39095,1804,8458,172,2983,141,-,,,,,,,, 
2023-24,28820,40697,1788,9582,167,2934,145,-,,,,,,,, 
