Year,Maize Area 000 Acres,Maize Production 000 M.tons,Jowar Area 000 Acres,Jowar Production 000 M.tons,Barley Area 000 Acres,Barley Production 000 M.tons,Bajra Area 000 Acres,Bajra Production 000 M.tons
2007-08,553,1346,-,-,2,1,1,-
2008-09,317,730,1,1,1,1,-,-
2009-10,376,887,0.50,0.27,2,1,-,-
2010-11,409,1018,0.49,0.25,1,0.48,0.164,0.099
2011-12,487,1298,0.42,0.23,1,032,0.149,0.087
2012-13,580,1548,0.33,015,1,0.32,0.146,0.083
2013-14,759,2124,0.275,0.12,1,0.266,0.101,0.058
2014-15,804,2272,0.235,0.478,1,0.307,0.094,0.05
2015-16,827,2446,0.23,0.102,1,0.317,0.089,0.048
2016-17,963,3026,0.207,0.092,1,0.287,0.076,0.04
2018-19,1100,3569,0.196,0.088,0.471,0.157,0.071,0.038
2019-20,1166,4015,0.164,0.077,0.361,0.124,-,-
2020-21,1186,4116,0.134,0.064,0.460,0.174,-,-
2021-22,1182,4262,0.1647,0.080,0.453,0.172,-,-
2022-23,1227,4563,0.1168,0.06032,0.4184,0.15918,-,-
2023-24,1272,4876,0.118,0.0161,0.395,0.195,-,-
