Year,Masur Area 000 Acres,Moong Area 000 Acres,Gram Area 000 Acres,Mashkalai Area 000 Acres,Arhar Area 000 Acres,Other Pulses Area 000 Acres,Total Area 000 Acres,Masur Production 000 M.tons,Moong Production 000 M.tons,Gram Production 000 M.tons,Mashkalai Production 000 M.tons,Arhar Production 000 M.tons,Other Pulses Production 000 M.tons,Total Production 000 M.tons
2008-09,175,54,20,61,2,247,559,61,18,07,22,1,87,196
2009-10,191,57,21,79,2,246,576,72,20,07,28,1,95,218
2010-11,205,68,20,78,2,254,627,80,19,07,29,1,96,232
2011-12,213,91,19,77,1,265,666,80,26,07,24,0.44,101,238
2012-13,222,87,18,79,1,294,701,93,25,07,26,0.423,114,265
2013-14,308,97,17,88,1,312,823,157,32,06,31,1,125,352
2014-15,359,96,17,96,1,314,883,167,33,07,33,1,138,379
2015-16,382,105,16,98,1,321,922,158,37,06,35,1,141,378
2016-17,382,102,15,103,1,318,921,169,35,06,35,1,138,388
2017-18,385,93,12,109,1,316,916,177,34,05,41,0.465,137,394
2018-19,345,102,12,114,1,293,136,161,34,05,42,0.468,136,378
2019-20,349,109,11,90,1,322,881,177,37,05,34,0.458,144,397
2020-21,186,109,11,100,1,336,743,186,41,05,37,0.474,155,424
2021-22,357,114,11,102,1,341,926,191,42,05,39,0.454,155,432
2022-23,344,113,10,102,1,310,880,197,46,05,41,0.4225,150,439
2023-24,309,121,10,98,1,319,858,185,45,05,39,0.384,169,443
