Year,Chilies Acreage 000 acres,Onion Acreage 000 acres,Garlic Acreage 000 acres,Others Acreage 000 acres,Total Acreage 000 acres,Chilies Production 000 M.tons,Onion Production 000 M.tons,Garlic Production 000 M.tons,Others Production 000 M.tons,Total Production 000 M.tons
2009-10,215,291,92,108,706,109,872,164,205,1350
2010-11,259,316,104,115,794,176,1052,209,212,1649
2011-12,240,335,109,118,802,126,1159,234,237,1756
2012-13,231,332,105,116,784,102,1168,224,226,1720
2013-14,222,373,131,130,856,110,1387,312,234,2043
2014-15,228,419,141,136,924,123,1704,346,235,2408
2015-16,252,438,150,137,977,130,1735,382,239,2486
2016-17,255,459,164,140,1018,137,1867,425,244,2673
2017-18,255,441,176,140,1006,141,1738,462,253,2589
2018-19,239,426,177,151,993,149,1803,466,253,2522
2019-20,239,458,182,168,1047,158,1954,485,399,2996
2020-21,247,480,180,153,1060,492,2269,502,330,3593
2021-22,243,508,178,125,1054,625,2517,527,346,4015
2022-23,240,503,177,156,1076,662,2547,544,359,4117
2023-24,245,514,175,155,1089,748,2917,528,364,4557
