Year,Potato Area 000 acres,Potato Sweet Area 000 acres,Nut Area 000 acres,Cotton Area 000 acres,Hemp Area 000 acres,Berry Area 000 acres,Acres,Potato Production 000 tons,Sweet Potato Production tons,Betelnut Production M.tons,Cotton Production 000 bales,Sunhemp Production 000 bales,Mulberry Production 000 tons
2011-12,1063,61,39,25,0.1,1,Nil,8205,253,244,27,1,28
2012-13,1098,67,37,31,0.145,1,Nil,8603,263,238,20,1,27
2013-14,1142,64,37,28,0.00006,1,Nil,8950,260,214,97,-,28
2014-15,1164,62,29,33,0.000117,1,Nil,9254,255,186,41,-,29
2015-16,1175,61,30,34,0.000106,0.463,Nil,9474,259,277,45,-,28
2016-17,1235,64,42,33,0.091,0.491,Nil,10216,263,247,43,23,27
2017-18,1176,59,42,32,0.083,0.314,Nil,9725,247,-,48,0.36,27
2018-19,1157,60,96,49,0.077,0.292,Nil,9655,236,317,148,0.319,27
2019-20,1140,61,97,49,01,1,Nil,9606,246,329,147,0.079,26
2020-21,1158,66,115,39,0.058,1,Nil,9887,280,346,102,0.668,31
2021-22,1147,72,97,38,0.587,1,Nil,10144,304,334,103,0.636,29
2022-23,1126,69,97,37,0.0562,1,Nil,10432,298,342,97,0.05439,23
2023-24,1133,69,98,37,0.0555,1,Nil,10601,302,356,98,0.05186,20
