Year,4.26 Food Grains - Aus (Lac M.Ton),4.26 Food Grains - Aman (Lac M.Ton),4.26 Food Grains - Boro (Lac M.Ton),4.26 Food Grains - Total (Rice) (Lac M.Ton),4.26 Food Grains - Wheat (Lac M.Ton),4.26 Food Grains - Potato (Lac M.Ton),4.26 Food Grains - Jute (Bales in Lac) (Lac M.Ton),4.26 Food Grains - Maize (Lac M.Ton),4.26 Food Grains - Onion (Lac M.Ton),4.27 Major Agri Crops - Rice Area 000 Acres,4.27 Major Agri Crops - Rice Production 000 M.tons,4.27 Major Agri Crops - Jute Area 000 Acres,4.27 Major Agri Crops - Jute Production 000 Bales,4.27 Major Agri Crops - Sugarcane Area 000 Acres,4.27 Major Agri Crops - Sugarcane Production 000 M.tons,4.27 Major Agri Crops - Tea Area 000 Acres,4.27 Major Agri Crops - Tea Production 000 lbs,4.27 Major Agri Crops - Pulses Area 000 acres,4.27 Major Agri Crops - Pulses Production 000 M.tons,4.27 Major Agri Crops - Oilseeds Area 000 acres,4.27 Major Agri Crops - Oilseeds Production 000 M.tons,4.27 Major Agri Crops - Condiments and Spices Area 000 acres,4.27 Major Agri Crops - Condiments and Spices Production 000 M.tons,4.27 Major Agri Crops - Tobacco Area 000,4.27 Major Agri Crops - Tobacco Production 000 M.Ton,4.28 Maize/Jowar/Barley/Bajra - Maize Area 000 Acres,4.28 Maize/Jowar/Barley/Bajra - Maize Production 000 M.tons,4.28 Maize/Jowar/Barley/Bajra - Jowar Area 000 Acres,4.28 Maize/Jowar/Barley/Bajra - Jowar Production 000 M.tons,4.28 Maize/Jowar/Barley/Bajra - Barley Area 000 Acres,4.28 Maize/Jowar/Barley/Bajra - Barley Production 000 M.tons,4.28 Maize/Jowar/Barley/Bajra - Bajra Area 000 Acres,4.28 Maize/Jowar/Barley/Bajra - Bajra Production 000 M.tons,4.29 Pulses - Masur Area 000 Acres,4.29 Pulses - Moong Area 000 Acres,4.29 Pulses - Gram Area 000 Acres,4.29 Pulses - Mashkalai Area 000 Acres,4.29 Pulses - Arhar Area 000 Acres,4.29 Pulses - Other Pulses Area 000 Acres,4.29 Pulses - Total Area 000 Acres,4.29 Pulses - Masur Production 000 M.tons,4.29 Pulses - Moong Production 000 M.tons,4.29 Pulses - Gram Production 000 M.tons,4.29 Pulses - Mashkalai Production 000 M.tons,4.29 Pulses - Arhar Production 000 M.tons,4.29 Pulses - Other Pulses Production 000 M.tons,4.29 Pulses - Total Production 000 M.tons,4.30 Condiments & Spices - Chilies Acreage 000 acres,4.30 Condiments & Spices - Onion Acreage 000 acres,4.30 Condiments & Spices - Garlic Acreage 000 acres,4.30 Condiments & Spices - Others Acreage 000 acres,4.30 Condiments & Spices - Total Acreage 000 acres,4.30 Condiments & Spices - Chilies Production 000 M.tons,4.30 Condiments & Spices - Onion Production 000 M.tons,4.30 Condiments & Spices - Garlic Production 000 M.tons,4.30 Condiments & Spices - Others Production 000 M.tons,4.30 Condiments & Spices - Total Production 000 M.tons,4.31 Misc Cash Crops - Potato Area 000 acres,4.31 Misc Cash Crops - Potato Sweet Area 000 acres,4.31 Misc Cash Crops - Nut Area 000 acres,4.31 Misc Cash Crops - Cotton Area 000 acres,4.31 Misc Cash Crops - Hemp Area 000 acres,4.31 Misc Cash Crops - Berry Area 000 acres,4.31 Misc Cash Crops - Acres,4.31 Misc Cash Crops - Potato Production 000 tons,4.31 Misc Cash Crops - Sweet Potato Production tons,4.31 Misc Cash Crops - Betelnut Production M.tons,4.31 Misc Cash Crops - Cotton Production 000 bales,4.31 Misc Cash Crops - Sunhemp Production 000 bales,4.31 Misc Cash Crops - Mulberry Production 000 tons
2007-08,,,,,,,,,,,,,,,,,,,,,,,,,,553,1346,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,,,,,,,,,,,,,,,,,,,,,,,,,,317,730,1,1,1,1,,,175,54,20,61,2,247,559,61,18,07,22,1,87,196,,,,,,,,,,,,,,,,,,,,,,,
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,376,887,0.50,0.27,2,1,,,191,57,21,79,2,246,576,72,20,07,28,1,95,218,215,291,92,108,706,109,872,164,205,1350,,,,,,,,,,,,,
2010-11,,,,,,,,,,28489,33542,1751,1523,287,4671,140,133380,627,232,924,730,795,1649,121,79,409,1018,0.49,0.25,1,0.48,0.164,0.099,205,68,20,78,2,254,627,80,19,07,29,1,96,232,259,316,104,115,794,176,1052,209,212,1649,,,,,,,,,,,,,
2011-12,,,,,,,,,,28487,33889,1878,1452,266,4603,143,133379,667,240,972,787,1042,1880,126,85,487,1298,0.42,0.23,1,032,0.149,0.087,213,91,19,77,1,265,666,80,26,07,24,0.44,101,238,240,335,109,118,802,126,1159,234,237,1756,1063,61,39,25,0.1,1,,8205,253,244,27,1,28
2012-13,,,,,,,,,,28228,33833,1683,7611,270,4469,144,139994,701,265,1009,804,784,1722,124,181,580,1548,0.33,015,1,0.32,0.146,0.083,222,87,18,79,1,294,701,93,25,07,26,0.423,114,265,231,332,105,116,784,102,1168,224,226,1720,1098,67,37,31,0.145,1,,8603,263,238,20,1,27
2013-14,,,,,,,,,,28101,34357,1645,7436,265,4508,148,145728,824,352,1065,844,855,2043,124,85,759,2124,0.275,0.12,1,0.266,0.101,0.058,308,97,17,88,1,312,823,157,32,06,31,1,125,352,222,373,131,130,856,110,1387,312,234,2043,1142,64,37,28,0.00006,1,,8950,260,214,97,,28
2014-15,,,,,,,,,,28209,34710,1662,7501,258,4434,149,145727,885,378,1124,934,924,2409,127,94,804,2272,0.235,0.478,1,0.307,0.094,0.05,359,96,17,96,1,314,883,167,33,07,33,1,138,379,228,419,141,136,924,123,1704,346,235,2408,1164,62,29,33,0.000117,1,,9254,255,186,41,,29
2015-16,,,,,,,,,,28123,34710,1675,7554,243,4208,148,142198,922,378,1125,934,987,2488,115,88,827,2446,0.23,0.102,1,0.317,0.089,0.048,382,105,16,98,1,321,922,158,37,06,35,1,141,378,252,438,150,137,977,130,1735,382,239,2486,1175,61,30,34,0.000106,0.463,,9474,259,277,45,,28
2016-17,21.33,136.56,180.13,338.03,13.11,102.15,82.46,30.25,18.66,27184,33804,1823,8247,227,3863,133,,901,387,1197,975,1018,2675,115,88,963,3026,0.207,0.092,1,0.287,0.076,0.04,382,102,15,103,1,318,921,169,35,06,35,1,138,388,255,459,164,140,1018,137,1867,425,244,2673,1235,64,42,33,0.091,0.491,,10216,263,247,43,23,27
2017-18,27.09,139.92,195.75,362.78,10.99,97.44,88.94,32.88,17.37,28699,36278,1874,8895,223,3639,133,,897,390,1122,1026,1007,2596,105,89,,,,,,,,,385,93,12,109,1,316,916,177,34,05,41,0.465,137,394,255,441,176,140,1006,141,1738,462,253,2589,1176,59,42,32,0.083,0.314,,9725,247,,48,0.36,27
2018-19,27.75,140.55,195.61,363.91,10.16,96.55,85.76,35.69,18.03,28456,36391,1852,8576,207,3203,133,,,,,,,,,,1100,3569,0.196,0.088,0.471,0.157,0.071,0.038,345,102,12,114,1,293,136,161,34,05,42,0.468,136,378,239,426,177,151,993,149,1803,466,253,2522,1157,60,96,49,0.077,0.292,,9655,236,317,148,0.319,27
