Year,Crop_Name,Crop_Category,Area_000ac,Production,Production_Unit
2010-11,Rice,Major Crops,28489,33542,000Mton
2011-12,Rice,Major Crops,28487,33889,000Mton
2012-13,Rice,Major Crops,28228,33833,000Mton
2013-14,Rice,Major Crops,28101,34357,000Mton
2014-15,Rice,Major Crops,28209,34710,000Mton
2015-16,Rice,Major Crops,28123,34710,000Mton
2016-17,Rice,Major Crops,27184,33804,000Mton
2017-18,Rice,Major Crops,28699,36278,000Mton
2018-19,Rice,Major Crops,28456,36391,000Mton
2019-20,Rice,Major Crops,28213,36604,000Mton
2020-21,Rice,Major Crops,28913,37608,000Mton
2021-22,Rice,Major Crops,28892,38143,000Mton
2022-23,Rice,Major Crops,28755,39095,000Mton
2023-24,Rice,Major Crops,28820,40697,000Mton
2010-11,Jute,Major Crops,1751,1523,000Bales
2011-12,Jute,Major Crops,1878,1452,000Bales
2012-13,Jute,Major Crops,1683,7611,000Bales
2013-14,Jute,Major Crops,1645,7436,000Bales
2014-15,Jute,Major Crops,1662,7501,000Bales
2015-16,Jute,Major Crops,1675,7554,000Bales
2016-17,Jute,Major Crops,1823,8247,000Bales
2017-18,Jute,Major Crops,1874,8895,000Bales
2018-19,Jute,Major Crops,1852,8576,000Bales
2019-20,Jute,Major Crops,1679,8045,000Bales
2020-21,Jute,Major Crops,1686,7725,000Bales
2021-22,Jute,Major Crops,1783,8432,000Bales
2022-23,Jute,Major Crops,1804,8458,000Bales
2023-24,Jute,Major Crops,1788,9582,000Bales
2010-11,Sugarcane,Major Crops,287,4671,000Mton
2011-12,Sugarcane,Major Crops,266,4603,000Mton
2012-13,Sugarcane,Major Crops,270,4469,000Mton
2013-14,Sugarcane,Major Crops,265,4508,000Mton
2014-15,Sugarcane,Major Crops,258,4434,000Mton
2015-16,Sugarcane,Major Crops,243,4208,000Mton
2016-17,Sugarcane,Major Crops,227,3863,000Mton
2017-18,Sugarcane,Major Crops,223,3639,000Mton
2018-19,Sugarcane,Major Crops,207,3203,000Mton
2019-20,Sugarcane,Major Crops,213,3683,000Mton
2020-21,Sugarcane,Major Crops,192,3333,000Mton
2021-22,Sugarcane,Major Crops,179,3087,000Mton
2022-23,Sugarcane,Major Crops,172,2983,000Mton
2023-24,Sugarcane,Major Crops,167,2934,000Mton
2010-11,Tea,Major Crops,140,133380,000lbs
2011-12,Tea,Major Crops,143,133379,000lbs
2012-13,Tea,Major Crops,144,139994,000lbs
2013-14,Tea,Major Crops,148,145728,000lbs
2014-15,Tea,Major Crops,149,145727,000lbs
2015-16,Tea,Major Crops,148,142198,000lbs
2016-17,Tea,Major Crops,133,,000lbs
2017-18,Tea,Major Crops,133,,000lbs
2018-19,Tea,Major Crops,133,,000lbs
2019-20,Tea,Major Crops,147,,000lbs
2020-21,Tea,Major Crops,136,,000lbs
2021-22,Tea,Major Crops,140,,000lbs
2022-23,Tea,Major Crops,141,,000lbs
2023-24,Tea,Major Crops,145,,000lbs
2010-11,Pulses,Major Crops,627,232,000Mton
2011-12,Pulses,Major Crops,667,240,000Mton
2012-13,Pulses,Major Crops,701,265,000Mton
2013-14,Pulses,Major Crops,824,352,000Mton
