Vegetable,Sowing_Period,Harvesting_Period,Seeds_Per_Acre,Seedlings_Per_Acre,Urea_Per_Acre,TSP_Per_Acre,MP_Per_Acre
Brinjal,October - Mid Nov,Late November - Mid April,75 grams,6000-8000,1 Maund,2 Maunds,20 Seers
Cauliflower,Late Oct - Mid Nov,Early January - Early March,105-117 grams,8000-10000,1 Maund,1 Maund 20 Srs,20 Seers
Cabbage,Late Oct - Mid Nov,Early January - Early March,105-117 grams,6000-8000,2 Maunds,20 Seers,20 Seers
Watergourd,Mid July - Early Nov,Early January - Early March,250 grams,,1 Maund,1 Maund,20 Seers
Pumpkin,"March-May; July-August","June-Sept; Nov-January",3-4 Chattak,,1 Maund,1 Maund,20 Seers
Tomato,Mid August - Late Nov,Beginning Dec - Mid January,50-70 grams,6000-8000,1 Maund 20 Srs,2 Maunds,20 Seers
Radish,Mid August - Early October,Early January - Mid February,3-4 kg,,1 Maund,20 Seers,20 Seers
Spinach (Puisak),Mid March - Early June,Late August - Mid November,200 grams,,1 Maund 20 Srs,20 Seers,20 Seers
Beans,Late June - Early Sept,Late Nov - Mid April,800 kg,,,1.5 Seers,1.5 Seers
Patal,Mid August - Mid October,Mid January - March,1000-2000 cuttings,,1 Maund,1 Maund,20 Seers
Lady's Finger,Mid April - Mid June,June - Mid September,2-3 kg,,1 Maund,1 Maund,20 Seers
Cucumber,Mid Sept - Mid Oct,Mid January - Mid June,150 grams,,1 Seer,1 Seer,1 Seer
Karala (Bittergourd),Feb - May,June - October,12 Chattak - 1 Seer,,1 Maund,1 Maund,20 Seers
