Year,Frozen_Shrimp_Qty_MT,Frozen_Shrimp_Value_Crore_Tk,Live_Fish_Qty_MT,Live_Fish_Value_Crore_Tk,Frozen_Fish_Qty_MT,Frozen_Fish_Value_Crore_Tk,Chilled_Fish_Qty_MT,Chilled_Fish_Value_Crore_Tk,Dry_Fish_Qty_MT,Dry_Fish_Value_Crore_Tk,Salted_Dehydrated_Fish_Qty_MT,Salted_Dehydrated_Fish_Value_Crore_Tk,Crab_Kuchia_Qty_MT,Crab_Kuchia_Value_Crore_Tk,Shark_Fish_Maws_Qty_MT,Shark_Fish_Maws_Value_Crore_Tk,Others_Qty_MT,Others_Value_Crore_Tk,Total_Qty_MT,Total_Value_Crore_Tk,Pct_of_Total_Export_Earnings
1998-99,20127,1162.21,,,6395,153.96,,,137,2.23,1232,37.18,486,6.39,154,17.4,,,28531,1379.37,5.41
1999-00,28514,1612.15,,,9484,137.19,,,215,3.65,809,25.96,107,1.44,262,31.17,,,39391,1811.56,6.28
2000-01,29713,1885.15,,,7965,94.89,,,137,2.02,838,27.73,154,2.33,181,20.63,,,38988,2032.75,5.77
2001-02,30209,1447.76,,,9864,137.39,,,517,8.32,293,9.53,336,7.07,263,27.07,,,41482,1637.14,4.76
2002-03,36864,1719.88,,,8846,158.64,,,333,7.02,526,19.12,630,14.58,172,22.35,,,47371,1941.59,5.1
2003-04,42943,2152.77,,,10229,202.24,,,472,4.16,377,1.38,116,1.39,4,1.53,,,54141,2363.47,5.71
2004-05,46533,2281.59,,,15763,256.2,,,272,3.71,770,28.97,38,0.86,1,0.39,,,63377,2571.72,5.9
2005-06,49317,2698.35,57,0.48,17429,294.14,,,150,2.19,591,19.84,1107,12.95,78,0.8,100,1.09,68829,3029.84,4.56
2006-07,53361,2992.33,4,0.07,18376,325.9,,,77,1.34,441,12.8,1123,15.48,244,4.11,78,0.86,73704,3352.89,4.9
2007-08,49907,2863.9,10,0.15,23515,495,,,210,2.67,658,26.97,439,4.88,266,1.82,294,0.41,75299,3396.28,4.04
2008-09,50368,2744.1,3,0.006,19294,451,,,341,11.99,84,3.92,1217,11.98,276,1.77,1308,18.73,72888,3243.41,3
2009-10,51599,2885.2,1783,13.22,21464,458,,,622,25.06,0,0,692,10.41,955,12.66,528,3.85,77643,3408.52,2.74
2010-11,54891,3568.2,0.6,0.045,16743,490,16369,421.05,623.3,5.57,576.8,30.86,4485.2,54.11,0,0,2780,34,96469,4603.83,2.73
2011-12,48007,3640.2,0.46,0.04,15513,396.18,19026,520.74,996,9.43,411,27.46,5767,95.77,0,0,2758,14.14,92479,4703.95,2.46
2012-13,50333,3376.2,0,0,11435,316.36,11831,246.86,1278,36.03,0,0,7428,169.49,1,0.09,2599,13.93,84905,4158.97,2.01
2013-14,47635,4118.8,0,0,11677,337.11,5021,89.07,2634,29.67,261,21.65,7707,164.75,0,0,2393,15.89,77328,4776.92,2.09
2014-15,44278,3937.6,0,0,10656,277.63,11629,177.08,2845,36.74,261,25.37,12558,199.38,0,0,1297,6.81,83524,4660.6,1.92
2015-16,40726,3598.67,12454,184.28,11133,273.76,7428,163.52,2229,30.12,249,21.03,106,7.09,0,0,1013,4.35,75338,4282.82,1.97
2016-17,39706,3682.26,0,0,8281,236.65,4124,94.99,2297,30.19,207,18.57,12883,220.26,0.16,0.08,809,4.65,68306,4287.64,1.51
2017-18,36168,3527.07,0,0,8265,276.29,8890,214.8,3144,42.59,214,26.6,11435,217.53,0.5,0.12,819,4.96,68936,4309.94,1.5
2018-19,33363,3088.85,14592,293.69,9742,306.99,10364,262.04,2340,32.95,166,18.59,470.23,44.88,2134,26.54,0,0,73171,4074.52,1.23
2019-20,30036,2948.94,11827,254.3,10009,321.76,11907,303.25,4141,54.21,139,15.43,589.5,57.85,2296,29.39,0,0,70945,3985.15,1.39
2020-21,30615,2730.56,3151,63.59,13023,419.48,16568,522.86,4691,62.58,79,7.68,6288.21,264.06,2176,18.16,0,0,76592,4088.96,1.24
2021-22,30571,3636.59,2871,126.92,8797,351.09,17329,551.68,3301,84.44,33,2.69,7729.99,393.86,3407,80.46,0,0,74042,5191.76,1.05
2022-23,25143.2,2990.88,4660.42,175.22,9289.2,436.42,7775,645.61,2224.6,48.78,39.2,4.01,7452.15,445.19,3296.64,44.23,0,0,69880.6,4790.34,0.8
2023-24,19131.3,2117.67,7649.59,293.73,8909,422.06,24859.9,825.49,2961.6,65.97,76.5,6.21,9788.72,699.98,12.24,0.98,4018.9,99.77,77407.9,4531.86,0.91
