Year,Urea,TSP,SSP,DAP,Gypsum,ASP,NPKS,Sulphuric Acid,P. Acid,Lum Sulphur,Sulphur,Zinc
2005-06,2451375,56392,130393,-,44947,6741,-,9581,-,-,-,-
2006-07,2527796,50430,125402,57009,59225,4865,-,125448,-,-,-,-
2007-08,2762783,47167,97948,89441,82731,3147,-,14176,-,-,-,-
2008-09,2532966,24144,240294,13226,45421,1455,-,17349,-,-,-,-
2009-10,2409276,73950,3451,51676,28313,737,-,11348,8,400,-,-
2010-11,2655245,59672,-,34854,4530,329,77,21423,14,775,-,-
2011-12,2296457,64661,41662,41662,57983,249,27,15330,15,800,-,-
2012-13,708,40823,-,33532,61966,195,9,13738,0,540,-,-
2013-14,2461681,88261,-,40415,70546,81,3,15533,15,830,-,-
2014-15,2638533,86398,-,65855,82910,-,65.80,14132,15,655,-,-
2015-16,2291452,94032,-,93099,77179,-,154.25,10347.42,15,575,-,-
2016-17,2365737,110814,-,71748,68395,-,106.00,11170,-,545,-,-
2017-18,2427467,99196.95,-,59128,60116,-,32.00,15845,10,496,-,-
2018-19,2594093,106771.45,-,34227,70498,-,2.00,8316,-,656,-,-
2019-20,2509726,98728.90,-,72947.10,65085,-,-,5541.65,-,656.50,-,-
2020-21,2463419,96159.65,-,73977.30,92197,-,-,7871.38,-,358.13,-,-
2021-22,2663082,90226.50,-,91179.50,88227,-,-,15982.82,-,227.00,-,-
2022-23,2752262,80943.90,-,127852.75,93817,-,-,17684.79,-,282.00,-,-
2023-24,2623417,97796.95,-,115521.60,66823,-,-,8444.03,-,174.00,-,-
