Region,Power_Pump_2021_22,Power_Pump_2022_23,Deep_Tube_Well_2021_22,Deep_Tube_Well_2022_23,Shallow_Tube_Well_2021_22,Shallow_Tube_Well_2022_23,Hand_Tube_Well_2021_22,Hand_Tube_Well_2022_23,Total_Tube_Well_2021_22,Total_Tube_Well_2022_23,Traditional_2021_22,Traditional_2022_23,Total_Irrigated_Area_2021_22,Total_Irrigated_Area_2022_23,Cropped_Area_2021_22,Cropped_Area_2022_23,Pct_Irrigated_Area_2021_22,Pct_Irrigated_Area_2022_23
Barishal,156,157,0,0,0,0,,,,6,9,6,165,163,680,684,24.26,23.83
Jhalkathi,26,25,0,0,0,0,0,0,0,0,8,8,34,33,248,249,13.71,13.25
Perojpur,46,54,0,0,,0,1,1,1,1,19,19,66,74,308,307,21.43,24.10
Bhola,129,122,0,0,0,0,,0,0,0,16,15,145,137,863,857,16.80,15.99
Patuakhali,7,7,0,0,0,0,0,0,0,0,35,35,42,42,557,554,7.54,7.58
Barguna,18,31,0,0,0,0,0,0,0,0,4,5,22,36,365,363,6.03,9.92
Barishal Division,382,396,0,0,0,0,1,1,1,1,91,88,474,485,3021,3018,15.69,16.07
Jashore,18,20,168,211,473,515,,,641,726,,,659,746,939,939,70.18,79.45
Jheniadah,5,5,19,19,557,573,0,0,576,592,10,12,591,609,792,791,74.62,76.99
Magura,14,10,2,2,303,375,0,0,305,377,6,6,325,393,400,399,81.25,98.50
Narial,12,15,,,230,230,,,230,230,,,242,245,365,362,66.30,67.68
Khulna,56,65,1,1,120,111,2,2,123,114,12,11,191,190,440,439,43.41,43.28
Bagerhat,119,124,0,0,29,28,1,1,30,29,17,16,166,169,396,397,41.92,42.57
Satkhira,23,20,48,45,188,179,,,236,224,1,1,260,245,519,517,50.10,47.39
Kushtia,39,36,57,36,479,545,,,536,581,62,58,637,675,700,680,91.00,99.26
Chuadanga,1,1,66,66,426,426,1,,493,492,4,1,498,494,517,516,96.32,95.74
Meherpur,,,12,16,273,275,0,0,285,291,,,285,291,346,348,82.37,83.62
Khulna Division,287,296,373,396,3078,3257,4,3,3455,3656,112,105,3854,4057,5414,5388,71.19,75.30
Rajshahi,10,9,458,464,222,220,,,680,684,,,690,693,973,972,70.91,71.30
Noagoan,66,66,477,543,441,409,0,0,918,952,17,11,1001,1029,1268,1267,78.94,81.22
Natore,5,6,95,99,379,385,,,474,484,1,3,480,493,725,725,66.21,68.00
Nawbganj,36,35,233,286,106,109,1,1,340,396,4,3,380,434,571,569,66.55,76.27
Bogura,15,1,141,157,756,772,0,0,897,929,1,,913,930,1273,1269,71.72,73.29
Joypurhat,7,14,160,265,116,159,0,0,276,424,1,1,284,439,503,503,56.46,87.28
Pabna,7,6,89,76,309,323,,,398,399,12,11,417,416,820,818,50.85,50.86
Sirajganj,6,6,62,62,516,511,,,578,573,2,2,586,581,856,856,68.46,67.87
Rajshahi Division,152,143,1715,1952,2845,2888,1,1,4561,4841,38,31,4751,5015,6989,6979,67.98,71.86
Rangpur,89,45,55,80,398,427,,0,453,507,,,542,552,1061,1060,51.08,52.08
Gaibanda,2,5,29,79,403,376,,,432,455,5,4,439,464,783,785,56.07,59.11
Kurigram,69,69,21,25,255,271,1,,277,296,3,1,349,366,714,713,48.88,51.33
Nilphamari,24,24,53,54,354,340,0,0,407,394,2,2,433,420,664,664,65.21,63.23
Lalmonirhat,76,89,12,12,203,186,,,215,198,,,291,287,501,497,55.08,57.75
Dinajpur,2,3,218,224,734,799,,,952,1023,,,954,1026,1532,1528,62.27,67.15
Thakurgaon,0,0,120,120,367,368,,,487,488,1,1,488,489,884,882,55.20,54.44
Panchagar,,,30,31,170,173,,,200,204,1,1,201,205,577,576,34.84,35.59
Rangpur Division,262,235,538,625,2884,2940,1,0,3423,3565,12,9,3697,3809,6716,6705,55.05,56.81
Bangladesh,3737,3850,3429,3827,12789,13090,20,22,16238,16939,706,741,20681,21530,39409,39296,52.48,52.48
