Soil_Group,Soil_Type,Area_Hectare,Percent
Floodplain,Calcareous Alluvium,591796,4.81
Floodplain,Non-calcareous Alluvium,562242,4.57
Floodplain,Calcareous Brown Floodplain,478518,3.89
Floodplain,Calcareous Grey Floodplain,170767,1.39
Floodplain,Calcareous Dark Grey Floodplain,1434678,11.66
Floodplain,Non-calcareous Grey Floodplain,3387153,27.52
Floodplain,Non-calcareous Brown Floodplain,383312,3.11
Floodplain,Non-calcareous Dark Grey Floodplain,1599645,13.00
Floodplain,Black Terai Soils,83408,0.68
Floodplain,Acid Basin Clays,348994,2.84
Floodplain,Acid Sulphate Soils,226647,1.84
Floodplain,Peat,130005,1.06
Hill and Terrace,Grey Piedmont Soils,215279,1.75
Hill and Terrace,Hill Soils (Brown Hill Soils),1561472,12.69
Hill and Terrace,Shallow Red-Brown Terrace Soils,72549,0.59
Hill and Terrace,Deep Red-Brown Terrace Soils,189380,1.54
Hill and Terrace,Brown Mottled Terrace Soils,34235,0.28
Hill and Terrace,Shallow Grey Terrace Soils,265427,2.16
Hill and Terrace,Deep Grey Terrace Soils,352152,2.86
Hill and Terrace,Grey Valley Soils,114287,0.93
