Sl,District,District_Area_km2,Annual_Avg_Rainfall_2017_mm,Annual_Avg_Rainfall_2018_mm,Rainfall_Volume_2017_Million_m3,Rainfall_Volume_2018_Million_m3
1,Bagerhat,3960,2369,1612,9380.94,6381.74
2,Bandarban,4480,4322,2925,19360.69,13102.06
3,Barguna,1832,3024,1935,5539.78,3544.00
4,Barisal,2790,2174,1941,6066.65,5415.81
5,Bhola,3403,3902,2192,13279.64,7458.92
6,Bogra,2920,1884,1410,5500.62,4116.25
7,Brahmanbaria,1927,2446,1650,4714.05,3178.84
8,Chandpur,1704,2725,1810,4643.31,3084.15
9,Chittagong,5285,3662,2731,19353.28,14434.27
10,Chuadanga,1158,1672,1246,1936.48,1442.68
11,Comilla,3084,3294,1918,10157.55,5916.39
12,Cox's Bazar,2492,6378,5143,15893.37,12815.98
13,Dhaka,1464,2489,1595,3643.97,2334.35
14,Dinajpur,3439,1898,1338,6525.74,4602.46
15,Faridpur,2072,1934,1263,4006.73,2616.68
16,Feni,1125,3025,2055,3402.56,2311.35
17,Gaibandha,2179,1910,1037,4162.91,2260.64
18,Gazipur,1741,2317,1474,4034.13,2565.42
19,Gopalganj,1490,2300,1545,3427.00,2301.31
20,Habiganj,2636,2959,2135,7800.58,5628.45
21,Jamalpur,2032,1817,1174,3691.20,2385.77
22,Jessore,2567,2030,1530,5211.52,3927.90
23,Jhalokathi,758,2838,1849,2151.20,1401.54
24,Jhenaidah,1961,1986,1374,3894.31,2694.95
25,Joypurhat,965,1762,1576,1700.72,1520.74
26,Khagrachhari,2699,3202,2349,8641.48,6340.22
27,Khulna,4317,2473,1423,10674.39,6141.36
28,Kishoreganj,2689,2347,1289,6311.33,3467.04
29,Kurigram,2296,2201,1425,5054.41,3272.26
30,Kushtia,1620,1489,911,2412.34,1476.55
31,Lakshmipur,1456,4004,2753,5829.19,4008.42
32,Lalmonirhat,1242,1835,1476,2279.32,1833.65
33,Madaripur,1145,2143,1659,2453.74,1899.21
34,Magura,1049,1666,1301,1747.76,1364.33
35,Manikganj,1378,2115,1558,2914.88,2146.58
36,Meherpur,716,2421,1857,1733.34,1329.42
37,Moulvi Bazar,2799,2779,1641,7778.42,4593.16
38,Munshiganj,955,4239,2165,4048.25,2067.85
39,Mymensingh,4362,2473,1592,10785.56,6945.92
40,Naogaon,3640,1496,1132,5446.67,4121.12
41,Narail,917,1576,1123,1445.19,1029.79
42,Narayanganj,759,2104,1846,1596.94,1401.11
43,Narsingdi,1141,2411,1620,2750.51,1848.71
44,Natore,1895,2180,1360,4131.67,2578.03
45,Nawabganj,1702,1329,1158,2261.15,1970.70
46,Netrokona,2810,3040,2588,8541.89,7271.94
47,Nilphamari,1642,2467,1943,4051.42,3190.57
48,Noakhali,3601,4107,2456,14788.33,8844.34
49,Pabna,2371,2043,1112,4844.11,2637.47
50,Panchagarh,1404,2433,2081,3416.61,2922.20
51,Patuakhali,3205,2541,2025,8144.39,6488.76
52,Pirojpur,1308,2053,1618,2684.93,2116.01
53,Rajbari,1119,4837,2963,5412.49,3315.71
54,Rajshahi,2407,1516,1211,3648.13,2915.72
55,Rangamati,6116,1968,1328,12033.23,8118.99
56,Rangpur,2308,2880,1593,6646.29,3676.44
57,Satkhira,3858,1767,1255,6817.99,4839.86
58,Shariatpur,1182,2586,2293,3056.65,2710.33
59,Sherpur,1364,3030,1814,4132.87,2474.21
60,Sirajganj,2498,2803,1063,7002.44,2654.72
61,Sunamganj,3670,5413,3292,19864.24,12079.87
62,Sylhet,3489,7377,3244,25739.40,11316.57
63,Tangail,3414,1590,1290,5426.98,4403.63
64,Thakurgaon,1809,1938,1669,3505.93,3019.22
Total,All Districts,147816,,,409533.58,272274.64
