sl_no,district,station,station_id
1,Bagerhat,Morrelganj,CL512
2,Bagerhat,Rampal,CL516
3,Bagerhat,Mollahhat,CL511
4,Bagerhat,Bagerhat,CL501
5,Bandarban,Nakhyongochari,CL322
6,Bandarban,Lama,CL317
7,Bandarban,Bandarban,CL303
8,Barguna,Patharghata,CL272
9,Barguna,Barguna,CL256
10,Barguna,Bamna,CL253
11,Barisal,Gournadi,CL263
12,Barisal,Barisal,CL258
13,Barisal,Banaripara,CL254
14,Barisal,Bakerganj,CL252
15,Bhola,Daulatkhan,CL261
16,Bhola,Borhanuddin,CL257
17,Bhola,Bhola,CL260
18,Bogra,Dhunot,CL11
19,Bogra,Shibganj,CL216
20,Bogra,Dubchanchia,CL169
21,Bogra,Bogra,CL6
22,Bogra,Khetlal,CL181
23,Bogra,Nandigram,CL22
24,Bogra,Nawkhila,CL24
25,Bogra,Sherpur,CL33
26,Brahmanbaria,Kasba,CL362
27,Brahmanbaria,Nabinagar,CL367
28,Brahmanbaria,Bancharampur,CL351
29,Brahmanbaria,Brahmanbaria,CL103
30,Brahmanbaria,Nasirnagar,CL132
31,Brahmanbaria,Sarail,CL131
32,Chandpur,Chandpur,CL354
33,Chandpur,Hajiganj,CL360
34,Chittagong,Mirsarai,CL320
35,Chittagong,Sandwip,CL331
36,Chittagong,Sitakunda,CL334
37,Chittagong,Nazirhat,CL324
38,Chittagong,Amtali,CL301
39,Chittagong,Narayanhat,CL323
40,Chittagong,Patia,CL325
41,Chittagong,Rangunia,CL330
42,Chittagong,Satkania,CL332
43,Chittagong,Chittagong,CL306
44,Chittagong,Fatikchari,CL311
45,Chittagong,Anowara,CL302
46,Chittagong,Hathazari,CL313
47,Chuadanga,Alamdanga,CL452
48,Chuadanga,Amla,CL214
49,Chuadanga,Chuadanga,CL224
50,Comilla,Daudkandi,CL357
51,Comilla,Barura,CL352
52,Comilla,Chauddagram,CL51
53,Comilla,Muradnagar,CL366
54,Comilla,Laksam,CL363
55,Comilla,Comilla,CL356
56,Comilla,Gunabati,CL359
57,Cox's Bazar,Kutubdia,CL316
58,Cox's Bazar,Dulahazara,CL310
59,Dhaka,Savar,CL31
60,Dhaka,Dhaka PBO,CL9
61,Dhaka,Dhaka Banani,CL42
62,Dhaka,Nawabganj,CL412
63,Dinajpur,Ghoraghat,CL164
64,Dinajpur,Khansama,CL179
65,Dinajpur,Nawabganj,CL196
66,Dinajpur,Hilli,CL175
67,Dinajpur,Setabganj,CL213
68,Dinajpur,Kantanagar,CL180
69,Dinajpur,Dinajpur,CL168
70,Dinajpur,Phulbari,CL201
71,Faridpur,Bhanga,CL403
72,Faridpur,Faridpur,CL406
73,Faridpur,Boalmari,CL404
74,Faridpur,Modhukhali,CL411
75,Feni,Feni,CL358
76,Feni,Parshuram,CL370
77,Feni,Chhagalnaya,CL355
78,Gaibandha,Gobindaganj,CL171
79,Gaibandha,Gaibandha,CL156
80,Gaibandha,Sundarganj,CL218
81,Gazipur,Sreepur,CL37
82,Gazipur,Maona,CL43
83,Gazipur,Joydebpur,CL17
84,Gopalganj,Fatehpur,CL407
85,Gopalganj,Haridaspur,CL409
86,Habiganj,Habiganj,CL110
87,Habiganj,Itakhola,CL111
88,Habiganj,Chandpur Bagan,CL105
89,Habiganj,Markuli,CL120
90,Jamalpur,Jamalpur,CL67
91,Jamalpur,Dewanganj,CL62
92,Jamalpur,Sarishabari,CL32
93,Jessore,Keshabpur,CL459
94,Jessore,Rajghat,CL451
95,Jessore,Jessore,CL456
96,Jessore,Benapole,CL453
97,Jessore,Chaugacha,CL454
98,Jhalokathi,Jhalokati,CL264
99,Jhenaidah,Dattanagar,CL455
100,Jhenaidah,Sailkupa,CL463
101,Jhenaidah,Jhenaidah,CL457
102,Jhenaidah,Kaliganj,CL458
103,Joypurhat,Joypurhat,CL520
104,Khagrachhari,Manikchari,CL319
105,Khagrachhari,Ramgarh,CL327
106,Khagrachhari,Chandarkhil,CL305
107,Khulna,Chalna,CL503
108,Khulna,Paikgacha,CL515
109,Khulna,Khulna,CL510
110,Khulna,Dumuria,CL504
111,Khulna,Kapilmuni,CL509
112,Kishoreganj,Khaliajuri,CL113
113,Kishoreganj,Bajitpur,CL61
114,Kishoreganj,Bhairab Bazar,CL101
115,Kishoreganj,Kishoreganj,CL71
116,Kishoreganj,Itna,CL112
117,Kurigram,Chilmari,CL163
118,Kurigram,Bhurangamari,CL159
119,Kurigram,Kurigram,CL182
120,Kurigram,Ulipur,CL222
121,Kushtia,Bheramara,CL41
122,Kushtia,Kushtia,CL19
123,Lakshmipur,Ramgati,CL375
124,Lakshmipur,Lakshmipur,CL364
125,Lakshmipur,Raipur,CL372
126,Lalmonirhat,Patgram,CL200
127,Lalmonirhat,Hatibandha,CL174
128,Lalmonirhat,Lalmanirhat,CL183
129,Madaripur,Madaripur,CL410
130,Madaripur,Shibchar,CL414
131,Magura,Salikha,CL462
132,Magura,Magura,CL460
133,Manikganj,Manikganj,CL20
134,Manikganj,Daulatpur,CL10
135,Meherpur,Dattapara,CL54
136,Meherpur,Meherpur,CL225
137,Meherpur,Hogalbaria,CL223
138,Moulvi Bazar,Srimangal,CL126
139,Moulvi Bazar,Moulvi Bazar,CL122
140,Munshiganj,Munshiganj,CL365
141,Munshiganj,Bhagyakul,CL402
142,Mymensingh,Ghosegaon,CL45
143,Mymensingh,Phulbaria,CL27
144,Mymensingh,Nandail,CL75
145,Mymensingh,Bhaluka,CL5
146,Mymensingh,Muktagacha,CL72
147,Mymensingh,Gafargaon,CL64
148,Mymensingh,Gauripur,CL65
149,Mymensingh,Rasulpur,CL46
150,Mymensingh,Phulpur,CL77
151,Mymensingh,Mymensingh,CL73
152,Naogaon,Naogaon,CL191
153,Naogaon,Atrai Ahsanganj,CL3
154,Naogaon,Nithpur,CL194
155,Naogaon,Manda,CL185
156,Naogaon,Mohadebpur,CL187
157,Naogaon,Nazipur,CL192
158,Naogaon,Sapahar,CL211
159,Naogaon,Badalgachi,CL152
160,Narail,Narail,CL461
161,Narayanganj,Shimrail,CL519
162,Narsingdi,Narsindi,CL76
163,Narsingdi,Shibpur,CL79
164,Natore,Gurudaspur,CL14
165,Natore,Singra,CL36
166,Natore,Lalpur,CL184
167,Natore,Joari,CL16
168,Natore,Natore,CL23
169,Nawabganj,Rohanpur,CL208
170,Nawabganj,Bholahat,CL158
171,Nawabganj,Chapai-Nawabganj,CL195
172,Nawabganj,Nachole,CL190
173,Netrokona,Durgapur,CL63
174,Netrokona,Kendua,CL115
175,Netrokona,Netrokona,CL123
176,Netrokona,Jaria-Jhanjail,CL68
177,Netrokona,Mohanganj,CL121
178,Nilphamari,Dalia,CL226
179,Nilphamari,Dimla,CL167
180,Nilphamari,Saidpur,CL210
181,Noakhali,Noakhali,CL369
182,Noakhali,Hatiya,CL361
183,Noakhali,Sonaimuri,CL377
184,Noakhali,Senbag,CL376
185,Noakhali,Basurhat,CL353
186,Pabna,Chatmohar,CL7
187,Pabna,Atghoria,CL1
188,Pabna,Pabna,CL25
189,Pabna,Faridpur Banuaripara,CL12
190,Pabna,Ishurdi,CL15
191,Pabna,Bera,CL4
192,Panchagarh,Tentulia,CL220
193,Panchagarh,Boda,CL161
194,Panchagarh,Panchagarh,CL197
195,Panchagarh,Bhithargarh,CL157
196,Panchagarh,Debiganj,CL166
197,Patuakhali,Khepupara,CL269
198,Patuakhali,Patuakhali,CL266
199,Patuakhali,Galachipa,CL262
200,Patuakhali,Bauphal,CL255
201,Pirojpur,Mathbaria,CL265
202,Pirojpur,Pirojpur,CL267
203,Pirojpur,Nazirpur,CL271
204,Pirojpur,Bhandaria,CL259
205,Rajbari,Rajbari,CL30
206,Rajshahi,Puthia,CL204
207,Rajshahi,Sardah,CL212
208,Rajshahi,Rajshahi,CL205
209,Rajshahi,Shibganj,CL215
210,Rajshahi,Tanore,CL219
211,Rajshahi,Godagari,CL172
212,Rangamati,Rangamati,CL328
213,Rangpur,Latu,CL118
214,Rangpur,Rangpur,CL206
215,Rangpur,Badarganj,CL153
216,Rangpur,Kaunia,CL178
217,Satkhira,Kaikhali,CL506
218,Satkhira,Kalaroa,CL507
219,Satkhira,Satkhira,CL518
220,Satkhira,Benarpota,CL502
221,Satkhira,Kaliganj,CL508
222,Satkhira,Islamkati,CL505
223,Shariatpur,Polang,CL413
224,Sherpur,Nakuagaon,CL227
225,Sherpur,Nalitabari,CL74
226,Sherpur,Sherpur Town,CL78
227,Sirajganj,Taras,CL39
228,Sirajganj,Shazadpur,CL35
229,Sirajganj,Ullapara,CL40
230,Sirajganj,Sirajganj,CL34
231,Sirajganj,Raiganj,CL29
232,Sunamganj,Chhatak,CL107
233,Sunamganj,Sunamganj,CL127
234,Sunamganj,Laurergarh,CL49
235,Sunamganj,Moheshkhola,CL44
236,Sylhet,Companyganj Bholaganj,CL102
237,Sylhet,Sylhet,CL128
238,Tangail,Mirzapur,CL21
239,Tangail,Tangail Atia,CL2
240,Tangail,Gopalpur,CL13
241,Tangail,Kalihati,CL18
242,Thakurgaon,Thakurgaon,CL221
