Division,District_Code,District,All_Holdings,Non_Farm_Holdings,Total_Farm_Holdings,Small_Farm_Holdings,Medium_Farm_Holdings,Large_Farm_Holdings,Owner_Holdings,Owner_Cum_Tenant_Holdings,Tenant_Holdings,Agriculture_Labour_Holdings,Fisheries_Holdings
DHAKA DIVISION,,,,,,,,,,,,,
DHAKA DIVISION,Total,,9559550,6500629,3058921,2867727,180633,10561,6685943,946637,255078,1189078,194632
DHAKA DIVISION,Rural,,6185188,3482974,2702214,2529182,163842,9190,4599220,895201,210629,1126081,181333
DHAKA DIVISION,Urban,,3374362,3017655,356707,338545,16791,1371,2086723,51436,44449,62997,13299
DHAKA DIVISION,26,Dhaka,3340396,2978114,362282,350478,10463,1341,2063560,69467,60980,94932,15682
DHAKA DIVISION,29,Faridpur,467945,226917,241028,218856,21188,984,337238,99267,8963,148323,12582
DHAKA DIVISION,33,Gazipur,1069287,725965,343322,334892,7668,762,796255,54911,33270,65907,11699
DHAKA DIVISION,35,Gopalganj,272123,103234,168889,151206,17050,633,196148,58548,6902,96181,16311
DHAKA DIVISION,48,Kishoreganj,670819,345168,325651,291740,31058,2853,506688,119932,18978,170014,45006
DHAKA DIVISION,54,Madaripur,276062,130360,145702,135683,9659,360,217141,44895,7342,61914,6000
DHAKA DIVISION,56,Manikganj,352493,165481,187012,175148,11274,590,254978,76235,12325,66295,8058
DHAKA DIVISION,59,Munshiganj,342245,247533,94712,81604,12386,722,265323,39623,13611,44647,12399
DHAKA DIVISION,67,Narayanganj,761585,626887,134698,133026,1503,169,534879,37847,12234,38412,15218
DHAKA DIVISION,68,Narsingdi,527035,290471,236564,227761,8468,335,423920,70908,4350,45550,10431
DHAKA DIVISION,82,Rajbari,260420,109827,150593,142290,7821,482,183269,59383,11886,90996,7131
DHAKA DIVISION,86,Shariatpur,268725,111954,156771,148072,8372,327,196888,48675,20122,77197,16440
DHAKA DIVISION,93,Tangail,950415,438718,511697,476971,33723,1003,709656,166946,44115,188710,17675
KHULNA DIVISION,,,,,,,,,,,,,
KHULNA DIVISION,Total,,4077987,1802965,2275022,2096745,166275,12002,2856633,821638,164138,1466553,151690
KHULNA DIVISION,Rural,,3672633,1479419,2193214,2028288,153417,11509,2603402,803989,147285,1450758,143477
KHULNA DIVISION,Urban,,405354,323546,81808,68457,12858,493,253231,17649,16853,15795,8213
KHULNA DIVISION,01,Bagerhat,372890,134363,238527,214887,21406,2234,281485,59876,16333,110242,25763
KHULNA DIVISION,18,Chuadanga,304985,115296,189689,178742,10518,429,204643,87297,11272,125618,5159
KHULNA DIVISION,41,Jashore,722516,325213,397303,370826,25470,1007,518947,133147,13680,273418,14452
KHULNA DIVISION,44,Jhenaidah,471422,170000,301422,279051,21473,898,329316,115643,8036,200806,9108
KHULNA DIVISION,47,Khulna,592329,340998,251331,228346,20399,2586,384109,64453,35346,153439,42603
KHULNA DIVISION,50,Kushtia,509234,254840,254394,237855,16058,481,353228,114363,32837,159735,7166
KHULNA DIVISION,55,Magura,230432,80153,150279,137922,11925,432,150074,69622,6596,67686,5147
KHULNA DIVISION,57,Meherpur,185578,68922,116656,107125,9105,426,127270,52455,3066,90958,3500
