Year,Agriculture_GVA_MillionTk,Crops_Horticulture_GVA,Animal_Farming_GVA,Forest_Related_Services_GVA,Fishing_GVA,Agriculture_Share_%,Crops_Horticulture_Share_%,Animal_Farming_Share_%,Forest_Related_Services_Share_%,Fishing_Share_%
1972-73,27019,20078,2335,1142,3464,43.05,31.99,3.72,1.82,5.52
1973-74,41433,32373,3322,1605,4134,43.40,33.91,3.48,1.68,4.33
1974-75,77034,64671,4428,2161,5775,51.84,43.52,2.98,1.45,3.89
1975-76,58839,45171,4685,1972,7011,42.33,32.50,3.37,1.42,5.04
1976-77,57637,42390,4910,2004,8334,37.95,27.91,3.23,1.32,5.49
1977-78,73742,54734,6747,3883,8378,38.95,28.91,3.56,2.05,4.43
1978-79,83548,61418,9028,4575,8528,35.96,26.44,3.89,1.97,3.67
1979-80,87157,62623,11134,4709,8691,33.10,23.78,4.23,1.79,3.30
1980-81,101911,75669,12082,5428,8731,32.88,24.41,3.90,1.75,2.82
1981-82,112942,85414,12073,5931,9524,32.33,24.45,3.46,1.70,2.73
1982-83,126212,95367,13277,7429,10139,31.54,23.83,3.32,1.86,2.53
1983-84,160234,122122,14208,10547,13357,33.06,25.20,2.93,2.18,2.76
1984-85,186795,136946,21670,10657,17521,33.37,24.47,3.87,1.90,3.13
1985-86,207613,142524,28065,16163,20860,32.45,22.28,4.39,2.53,3.26
1986-87,242550,168843,29522,18116,26068,32.72,22.78,3.98,2.44,3.52
1987-88,257883,171642,32589,23579,30073,31.38,20.88,3.96,2.87,3.66
1988-89,280888,184308,38386,23845,34348,30.59,20.07,4.18,2.60,3.74
1989-90,316602,204583,45904,28520,37595,30.38,19.63,4.40,2.74,3.61
1990-91,351607,227959,48725,33239,41684,30.40,19.71,4.21,2.87,3.60
1991-92,367962,233490,51750,36264,46457,29.32,18.60,4.12,2.89,3.70
1992-93,347147,196123,55088,38200,57736,26.17,14.78,4.15,2.88,4.35
1993-94,368023,200184,58960,40043,68836,25.38,13.81,4.07,2.76,4.75
1994-95,424081,237132,63173,44052,79724,25.89,14.48,3.86,2.69,4.87
1995-96,451707,247241,67700,47266,89500,25.06,13.71,3.76,2.62,4.96
1996-97,491504,269469,71174,51691,99169,24.85,13.63,3.60,2.61,5.01
1997-98,528574,285445,75283,56849,110997,23.99,12.95,3.42,2.58,5.04
1998-99,578277,307700,79125,62893,128559,23.85,12.69,3.26,2.59,5.30
1999-2K,633657,342583,83565,66638,140871,23.67,12.80,3.12,2.49,5.26
2000-01,663976,368631,88459,71924,134962,22.73,12.62,3.03,2.46,4.62
2001-02,678943,365702,94803,78292,140146,21.30,11.47,2.97,2.46,4.40
2002-03,727549,392716,103051,84435,147346,20.47,11.05,2.90,2.38,4.15
2003-04,781716,425112,111516,90875,154213,19.71,10.72,2.81,2.29,3.89
2004-05,842429,458407,121282,98487,164253,18.85,10.26,2.71,2.20,3.67
2005-06,926791,512604,132648,106968,174570,18.11,10.02,2.59,2.09,3.41
2006-07,1052828,586108,150923,118755,197041,17.96,10.00,2.57,2.03,3.36
2007-08,1197342,669506,179554,132229,216053,17.84,9.98,2.68,1.97,3.22
2008-09,1306740,717704,201786,147650,239599,17.23,9.46,2.66,1.95,3.16
2009-10,1487235,831872,226726,169071,259567,17.17,9.61,2.62,1.95,3.00
2010-11,1696014,938368,264367,191498,301781,16.99,9.40,2.65,1.92,3.02
2011-12,1895314,1032858,304976,218747,338733,16.37,8.92,2.63,1.89,2.93
2012-13,2077137,1092594,340884,248740,394919,15.58,8.19,2.56,1.87,2.96
2013-14,2322046,1207212,377845,283358,453631,15.44,8.03,2.51,1.88,3.02
2014-15,2545671,1294257,414514,324573,512327,14.68,7.46,2.39,1.87,2.95
2015-16,2795050,1382799,466548,371884,573819,14.06,6.96,2.35,1.87,2.89
2016-17,3011670,1486692,495159,398637,631181,13.56,6.69,2.23,1.79,2.84
2017-18,3293802,1623332,531856,435632,702982,13.09,6.45,2.11,1.73,2.79
2018-19,3534431,1733782,562897,466390,771362,12.52,6.14,1.99,1.65,2.73
2019-20,3804464,1861159,597153,503992,842160,12.44,6.09,1.95,1.65,2.75
2020-21,4106614,1996305,632931,559163,918215,12.09,5.88,1.86,1.65,2.70
2021-22(p),4398344,2118859,671894,625772,981819,11.52,5.55,1.76,1.64,2.57
