Year,Agriculture_GVA_MTk,Industry_GVA_MTk,Service_GVA_MTk,Total_GVA_MTk,Agriculture_Share_%,Industry_Share_%,Service_Share_%,Total_Share_%
1972-73,27019,9218,26531,62767,43.05,14.69,42.27,100.00
1974-75,77034,20659,50903,148596,51.84,13.90,34.26,100.00
1979-80,87157,53593,122595,263345,33.10,20.35,46.55,100.00
1984-85,186795,117367,255587,559748,33.37,20.97,45.66,100.00
1989-90,316602,214315,511221,1042137,30.38,20.56,49.06,100.00
1994-95,424081,382432,831376,1637888,25.89,23.35,50.76,100.00
1999-2k,633657,645673,1397729,2677060,23.67,24.12,52.21,100.00
2004-05,842429,1134254,2492923,4469606,18.85,25.38,55.77,100.00
2009-10,1487235,2385934,4786155,8659324,17.17,27.55,55.27,100.00
2014-15,2545671,5527830,9265956,17339457,14.68,31.88,53.44,100.00
2019-20,3804464,10434511,16331503,30570477,12.44,34.13,53.42,100.00
2021-22(p),4398344,13541135,20235490,38174970,11.52,35.47,53.01,100.00
