Year,Forest_000ac,Not_Available_000ac,Cultiv_Waste_000ac,Curr_Fallows_000ac,Net_Cropped_000ac,Sown_More_Once_000ac,Total_Cropped_000ac
1993-94,4674,10355,1566,984,19090,14225,33315
1994-95,4861,10128,1547,1000,19133,14280,33413
1995-96,5317,9788,1314,969,19281,14110,33391
1996-97,5329,9681,1295,963,19401,14688,34089
1997-98,5572,9268,1241,898,19690,15210,34810
1998-99,5572,9141,1100,1115,19741,14752,34493
1999-00,6490,8435,781,862,20101,15166,35267
2000-01,6490,8427,794,987,19970,15365,35335
2001-02,6365,8676,799,1005,19824,15252,35076
2002-03,6418,8685,764,957,19845,15281,35126
2003-04,6418,8697,736,957,19843,15286,35129
2004-05,6420,8724,663,1157,19703,15142,34845
2005-06,6420,8802,640,1518,19289,14655,33944
2006-07,6420,8835,634,1514,19266,14656,33922
2007-08,6420,8872,596,1598,19187,15093,34280
2008-09,6420,8835,572,1171,19621,15993,35614
2009-10,5754,9572,549,1310,19484,16248,35730
2010-11,6368,9238,542,1153,19368,17558,36926
2011-12,6359,9265,521,930,19594,17667,37261
2012-13,6359,9293,505,969,19543,17607,37150
2013-14,6368,9105,483,929,19581,17992,37573
2014-15,6368,8942,519,1042,19594,18078,37674
2015-16,6368,8901,551,1009,19636,18512,38148
2016-17,6368,8883,575,994,19650,18606,38256
2017-18,6368,8841,575,907,19774,18762,38536
2018-19,6363,8364,639,1126,19973,19384,39357
2019-20,6363,8284,671,1066,20081,19597,39678
2020-21,6363,8312,700,1118,19972,19521,39493
2021-22,6363,8290,731,1206,19875,19483,39358
